scam_type,example
Job Scam,Pay registration fee before joining
Job Scam,Security deposit required before interview
Job Scam,Send ₹999 to confirm selection
Internship Scam,Training fee required before internship starts
Internship Scam,Pay first then receive internship certificate
Scholarship Scam,Processing fee required for scholarship approval
Scholarship Scam,Submit payment to unlock scholarship
UPI Scam,Accept collect request to receive money
UPI Scam,Click UPI link to claim cashback
UPI Scam,Send OTP to receive refund
Lottery Scam,Congratulations you won ₹25 lakh
Lottery Scam,Claim lottery reward immediately
KYC Scam,Update KYC now or account will be blocked
KYC Scam,Verify Aadhaar urgently
Bank Scam,Your account is suspended verify immediately
Bank Scam,Provide OTP to reactivate bank account
Investment Scam,Guaranteed 10x returns in one month
Investment Scam,Double your money quickly
Phishing Attempt,Click here to verify account
Phishing Attempt,Your password has expired login immediately
Government Scam,Pay fee to receive government subsidy
Government Scam,Claim PM scheme reward now
Courier Scam,Package delivery failed click link
Courier Scam,Pay delivery fee immediately
Internship Scam,Pay training fee before joining
Internship Scam,Certificate available after payment
Scholarship Scam,Processing fee required
Scholarship Scam,Pay to unlock scholarship
Freelancing Scam,Pay security amount before project
Freelancing Scam,Deposit required before work allocation
Remote Job Scam,Guaranteed ₹5000 per day
Remote Job Scam,Earn money instantly from home
